log,summary
Name resolution failed for upstream email-dispatcher: timeout. cart-service cannot reach it from node-02.,"DNS resolution of email-dispatcher failed with timeout, leaving cart-service on node-02 unable to connect."
ERROR service=payment-worker fn=fetchUpstream db_port=9042 code=111 msg=connection refused elapsed_ms=3437,payment-worker failed to reach the database: fetchUpstream received a connection-refused error (code 111) on port 9042 after 3437ms.
Request to /api/v1/search rejected with 401: the session token presented to catalog-api expired 376 minutes ago.,catalog-api returned 401 for /api/v1/search because the caller's token expired 376 minutes earlier.
Name resolution failed for upstream inventory-sync: timeout. ledger-service cannot reach it from worker-e.,"The inventory-sync hostname would not resolve (timeout), blocking ledger-service on worker-e."
ledger-service could not connect to the database on port 6379. Error 111 in renewLease: connection refused after 4824ms.,"The database on port 6379 refused ledger-service's connection attempt in renewLease, failing with code 111."
Client exceeded 60 requests per minute on /api/v1/uploads; search-indexer is responding 429 with retry-after 60s.,Traffic to /api/v1/uploads passed 60 requests per minute and search-indexer began returning 429 (retry after 60s).
[ERROR] consumer lag on orders.created: email-dispatcher is 24 messages behind; oldest message failed with ValidationError,email-dispatcher could not process a orders.created message — ValidationError in buildIndex across 24 attempts sent it to the dead-letter queue.
[ALERT] catalog-api: 403 on /api/v1/uploads — expired credentials (10m past validity),The /api/v1/uploads call failed with 403: catalog-api saw credentials that lapsed 10 minutes ago.
WARN service=search-indexer queue=payments.retry redeliveries=6 action=dead_letter error=TimeoutError,A message on payments.retry exhausted 6 redeliveries and was dead-lettered after search-indexer kept failing with TimeoutError in fetchUpstream.
ERROR service=feed-aggregator host=worker-c oom_killed=true limit=256Mi function=syncReplica exit=137,feed-aggregator on worker-c ran out of memory: syncReplica crossed the 256Mi limit and the container exited with code 137.
[ERROR] media-encoder: 44 consecutive 504 responses from report-builder on /api/v1/search; breaker opened,media-encoder opened its circuit breaker after report-builder answered /api/v1/search with 504 (latest attempt took 23846ms).
[ERROR] feed-aggregator on worker-d: lookup of geo-resolver returned NXDOMAIN,"DNS resolution of geo-resolver failed with NXDOMAIN, leaving feed-aggregator on worker-d unable to connect."
"[ERROR] index-rebuild did not complete: exit 1 after 705s (step runMigration, node-08)","index-rebuild aborted with exit status 1 on node-08; the failure happened 705s in, during runMigration."
ERROR service=media-encoder host=node-01 mount=/srv/uploads used_pct=100 fn=renewLease msg=no space left on device,"node-01 ran out of disk on /srv/uploads (100% used), breaking media-encoder's renewLease."
ERROR service=ledger-service host=node-06 upstream=session-store dns=timeout,ledger-service on node-06 cannot resolve its upstream session-store — DNS returned timeout.
[CRIT] thumbnail-worker: permission denied for readonly on products during fetchUpstream (error 42501),Error 42501 in fetchUpstream: the readonly role used by thumbnail-worker has no access to products.
"[ALERT] startup failure in order-api: MAX_WORKERS unset, processBatch cannot continue",Startup of order-api aborted in processBatch — the required MAX_WORKERS setting was never provided.
ERROR service=ledger-service host=worker-c mount=/var/log used_pct=96 fn=resolveHost msg=no space left on device,Writes from ledger-service on worker-c are failing because volume /var/log is 96% full — resolveHost hit 'no space left on device'.
backup-agent exited during startup: required environment variable CACHE_HOST is not set. runMigration aborted with status 1.,Startup of backup-agent aborted in runMigration — the required CACHE_HOST setting was never provided.
Name resolution failed for upstream inventory-sync: NXDOMAIN. session-store cannot reach it from node-10.,"The inventory-sync hostname would not resolve (NXDOMAIN), blocking session-store on node-10."
[ALERT] node-03: volume /var/log at 95%; writes from auth-gateway are failing in openChannel,"node-03 ran out of disk on /var/log (95% used), breaking auth-gateway's openChannel."
[CRIT] certificate for catalog-api is no longer valid (expired 2d); handshake rejected in writeSnapshot,Connections to catalog-api are failing because its TLS certificate expired 2 days ago; writeSnapshot rejects the handshake.
[ALERT] consumer lag on orders.created: webhook-relay is 25 messages behind; oldest message failed with TimeoutError,"After 25 failed deliveries to webhook-relay (TimeoutError), the orders.created message landed in the dead-letter queue."
[CRIT] catalog-api on node-11: lookup of catalog-api returned timeout,"DNS resolution of catalog-api failed with timeout, leaving catalog-api on node-11 unable to connect."
ERROR service=payment-worker role=batch_runner table=payments code=1044 msg=permission denied,"Database permissions blocked payment-worker — role batch_runner cannot use table payments, so flushBuffer failed with error 1044."
Name resolution failed for upstream ledger-service: SERVFAIL. inventory-sync cannot reach it from worker-f.,"The ledger-service hostname would not resolve (SERVFAIL), blocking inventory-sync on worker-f."
ERROR service=backup-agent host=node-08 upstream=search-indexer dns=timeout,"The search-indexer hostname would not resolve (timeout), blocking backup-agent on node-08."
ERROR service=feed-aggregator upstream=ledger-service endpoint=/api/v1/uploads code=502 elapsed_ms=13892 breaker=open,"The ledger-service upstream is failing /api/v1/uploads with 502, so feed-aggregator stopped sending traffic (breaker open)."
[ERROR] backup-agent on node-05: lookup of media-encoder returned timeout,"The media-encoder hostname would not resolve (timeout), blocking backup-agent on node-05."
Scheduled job backup-snapshot failed after 1984s with exit status 1. Last step was acquireLock on worker-a.,"On worker-a, the backup-snapshot job died in step acquireLock after 1984s (exit 1)."
Message on media.encode was redelivered 22 times and moved to the dead-letter queue. Consumer media-encoder raised JSONDecodeError in handleRequest.,A message on media.encode exhausted 22 redeliveries and was dead-lettered after media-encoder kept failing with JSONDecodeError in handleRequest.
ERROR service=report-builder fn=handleRequest tls=handshake_failed reason=certificate_expired expired_days=43,"The TLS certificate presented by report-builder lapsed 43 days ago, so the handshake in handleRequest was aborted."
ERROR service=search-indexer phase=image_pull code=401 tag=v3.9.9 msg=pull backoff,Deploying search-indexer failed because image tag v3.9.9 could not be pulled; the registry responded with 401 and the pull is backing off.
Scheduled job metrics-flush failed after 3600s with exit status 1. Last step was handleRequest on node-02.,"On node-02, the metrics-flush job died in step handleRequest after 3600s (exit 1)."
[ALERT] node-01: volume /var/lib/data at 97%; writes from notify-hub are failing in flushBuffer,"Volume /var/lib/data on node-01 filled to 97%, so notify-hub can no longer write (flushBuffer failed)."
"[ERROR] database unreachable from catalog-api: renewLease got error 111 (connection refused, port 3306)",A database connection failure hit catalog-api; error 111 in renewLease indicates the server on port 3306 refused the connection.
[ERROR] notify-hub on node-03: lookup of search-indexer returned SERVFAIL,"DNS resolution of search-indexer failed with SERVFAIL, leaving notify-hub on node-03 unable to connect."
ERROR service=auth-gateway role=readonly table=events code=42501 msg=permission denied,Error 42501 in flushBuffer: the readonly role used by auth-gateway has no access to events.
order-api could not connect to the database on port 9042. Error 61 in buildIndex: connection refused after 2147ms.,order-api failed to reach the database: buildIndex received a connection-refused error (code 61) on port 9042 after 2147ms.
[CRIT] certificate for feed-aggregator is no longer valid (expired 73d); handshake rejected in fetchUpstream,Connections to feed-aggregator are failing because its TLS certificate expired 73 days ago; fetchUpstream rejects the handshake.
[ERROR] node-02: volume /var/lib/data at 99%; writes from backup-agent are failing in decodePayload,"node-02 ran out of disk on /var/lib/data (99% used), breaking backup-agent's decodePayload."
Upstream backup-agent returned 504 for /api/v1/sessions after 6678ms. Circuit breaker in report-builder is now open.,Repeated 504 errors from backup-agent on /api/v1/sessions tripped report-builder's circuit breaker.
WARN service=backup-agent table=products elapsed_ms=5000 fn=syncReplica msg=statement timeout,backup-agent's query on products was aborted after 5000ms — the statement timeout fired during syncReplica.
[ERROR] webhook-relay: permission denied for migrator on products during processBatch (error 42501),"Database permissions blocked webhook-relay — role migrator cannot use table products, so processBatch failed with error 42501."
Failed to pull image for session-store: registry returned 404 while fetching tag v7.8.5. Retrying with backoff.,"The session-store image pull for tag v7.8.5 failed with registry error 404, leaving the deployment in backoff."
[ALERT] certificate for report-builder is no longer valid (expired 36d); handshake rejected in decodePayload,"The TLS certificate presented by report-builder lapsed 36 days ago, so the handshake in decodePayload was aborted."
"[CRIT] database unreachable from search-indexer: acquireLock got error 2002 (connection refused, port 5432)","The database on port 5432 refused search-indexer's connection attempt in acquireLock, failing with code 2002."
FATAL service=order-api fn=fetchUpstream missing_env=CACHE_HOST exit=1,order-api failed to start because the CACHE_HOST environment variable is missing; fetchUpstream exited with status 1.
"[ALERT] session-cleanup did not complete: exit 1 after 1869s (step resolveHost, node-02)",The session-cleanup scheduled job failed on node-02: it exited 1 after 1869s while running resolveHost.
No space left on device: feed-aggregator on worker-b failed to write during buildIndex. Volume /var/lib/data is at 96% capacity.,"worker-b ran out of disk on /var/lib/data (96% used), breaking feed-aggregator's buildIndex."
[ALERT] node-12: volume /tmp at 97%; writes from session-store are failing in syncReplica,Writes from session-store on node-12 are failing because volume /tmp is 97% full — syncReplica hit 'no space left on device'.
[CRIT] lock wait on orders: inventory-sync transaction in connectDb aborted after 15000ms,inventory-sync's query on orders was aborted after 15000ms — the statement timeout fired during connectDb.
[ALERT] node-02: volume /var/lib/data at 100%; writes from geo-resolver are failing in buildIndex,Writes from geo-resolver on node-02 are failing because volume /var/lib/data is 100% full — buildIndex hit 'no space left on device'.
ERROR service=search-indexer role=readonly table=orders code=1045 msg=permission denied,"Database permissions blocked search-indexer — role readonly cannot use table orders, so openChannel failed with error 1045."
"[ERROR] database unreachable from webhook-relay: renewLease got error 61 (connection refused, port 3306)",A database connection failure hit webhook-relay; error 61 in renewLease indicates the server on port 3306 refused the connection.
ERROR job=invoice-rollup host=worker-b elapsed_s=1256 exit=1 last_step=buildIndex,"invoice-rollup aborted with exit status 1 on worker-b; the failure happened 1256s in, during buildIndex."
"[ERROR] backup-agent deployment stalled: image tag v1.11.7 could not be pulled, registry answered 502",Registry error 502 blocked backup-agent from pulling image tag v1.11.7.
Request to /api/v1/uploads rejected with 403: the session token presented to email-dispatcher expired 440 minutes ago.,The /api/v1/uploads call failed with 403: email-dispatcher saw credentials that lapsed 440 minutes ago.
notify-hub could not connect to the database on port 6379. Error 2002 in handleRequest: connection refused after 4535ms.,"The database on port 6379 refused notify-hub's connection attempt in handleRequest, failing with code 2002."
[ALERT] feed-aggregator: 401 on /api/v1/sessions — expired credentials (389m past validity),feed-aggregator returned 401 for /api/v1/sessions because the caller's token expired 389 minutes earlier.
Client exceeded 300 requests per minute on /api/v1/orders; cart-service is responding 429 with retry-after 60s.,"cart-service is throttling /api/v1/orders: the 300-per-minute limit was exceeded, so callers get 429 with a 60s retry-after."
"[ERROR] throttling active on /api/v1/sessions: cart-service rejecting excess traffic with 429 (limit 120/min, retry after 60s)","cart-service is throttling /api/v1/sessions: the 120-per-minute limit was exceeded, so callers get 429 with a 60s retry-after."
ERROR job=invoice-rollup host=node-12 elapsed_s=1851 exit=1 last_step=acquireLock,The invoice-rollup scheduled job failed on node-12: it exited 1 after 1851s while running acquireLock.
ERROR service=cart-service fn=syncReplica db_port=5432 code=111 msg=connection refused elapsed_ms=6929,"The database on port 5432 refused cart-service's connection attempt in syncReplica, failing with code 111."
ERROR service=session-store host=node-05 mount=/var/log used_pct=95 fn=handleRequest msg=no space left on device,"Volume /var/log on node-05 filled to 95%, so session-store can no longer write (handleRequest failed)."
"[CRIT] container runtime killed search-indexer on node-06: memory limit 2048Mi reached inside decodePayload, exit code 137",search-indexer on node-06 ran out of memory: decodePayload crossed the 2048Mi limit and the container exited with code 137.
ERROR service=auth-gateway role=batch_runner table=orders code=42501 msg=permission denied,Error 42501 in writeSnapshot: the batch_runner role used by auth-gateway has no access to orders.
notify-hub exited during startup: required environment variable LOG_LEVEL is not set. connectDb aborted with status 1.,Startup of notify-hub aborted in connectDb — the required LOG_LEVEL setting was never provided.
TLS handshake with session-store failed: certificate expired 85 days ago. fetchUpstream aborted the connection.,"The TLS certificate presented by session-store lapsed 85 days ago, so the handshake in fetchUpstream was aborted."
[ERROR] webhook-relay: 5 consecutive 502 responses from cart-service on /api/v1/search; breaker opened,Repeated 502 errors from cart-service on /api/v1/search tripped webhook-relay's circuit breaker.
WARN service=webhook-relay endpoint=/api/v1/reports code=403 reason=token_expired expired_min=340,The /api/v1/reports call failed with 403: webhook-relay saw credentials that lapsed 340 minutes ago.
Container backup-agent on node-03 terminated unexpectedly. Exit code 137. Process resolveHost exceeded the memory limit of 256Mi.,backup-agent on node-03 ran out of memory: resolveHost crossed the 256Mi limit and the container exited with code 137.
Upstream webhook-relay returned 504 for /api/v1/checkout after 3707ms. Circuit breaker in webhook-relay is now open.,"The webhook-relay upstream is failing /api/v1/checkout with 504, so webhook-relay stopped sending traffic (breaker open)."
ERROR service=search-indexer host=node-05 upstream=search-indexer dns=NXDOMAIN,"DNS resolution of search-indexer failed with NXDOMAIN, leaving search-indexer on node-05 unable to connect."
ERROR service=inventory-sync phase=image_pull code=502 tag=v4.7.5 msg=pull backoff,Registry error 502 blocked inventory-sync from pulling image tag v4.7.5.
[ERROR] consumer lag on orders.created: payment-worker is 6 messages behind; oldest message failed with KeyError,payment-worker could not process a orders.created message — KeyError in writeSnapshot across 6 attempts sent it to the dead-letter queue.
ERROR service=report-builder upstream=notify-hub endpoint=/api/v1/sessions code=500 elapsed_ms=26062 breaker=open,"The notify-hub upstream is failing /api/v1/sessions with 500, so report-builder stopped sending traffic (breaker open)."
Container payment-worker on node-02 terminated unexpectedly. Exit code 137. Process acquireLock exceeded the memory limit of 256Mi.,An out-of-memory kill terminated payment-worker on node-02 (exit 137); the acquireLock process breached the 256Mi cap.
"[ERROR] database unreachable from ledger-service: acquireLock got error 111 (connection refused, port 5432)","The database on port 5432 refused ledger-service's connection attempt in acquireLock, failing with code 111."
[ERROR] certificate for order-api is no longer valid (expired 42d); handshake rejected in resolveHost,Connections to order-api are failing because its TLS certificate expired 42 days ago; resolveHost rejects the handshake.
Name resolution failed for upstream catalog-api: SERVFAIL. email-dispatcher cannot reach it from node-04.,email-dispatcher on node-04 cannot resolve its upstream catalog-api — DNS returned SERVFAIL.
ERROR service=email-dispatcher fn=startContainer db_port=3306 code=2002 msg=connection refused elapsed_ms=8226,"The database on port 3306 refused email-dispatcher's connection attempt in startContainer, failing with code 2002."
cart-service could not connect to the database on port 3306. Error 2013 in flushBuffer: connection refused after 3525ms.,cart-service failed to reach the database: flushBuffer received a connection-refused error (code 2013) on port 3306 after 3525ms.
WARN service=session-store endpoint=/api/v1/checkout limit_per_min=120 code=429 retry_after_s=5,Rate limiting kicked in on /api/v1/checkout — over 120/min — and session-store now answers 429 with retry-after 5s.
Query on events from search-indexer exceeded 1000ms and was cancelled. Statement timed out inside decodePayload.,A statement from search-indexer against events ran past the 1000ms timeout and was cancelled in decodePayload.
ERROR service=feed-aggregator upstream=search-indexer endpoint=/api/v1/orders code=503 elapsed_ms=27433 breaker=open,feed-aggregator opened its circuit breaker after search-indexer answered /api/v1/orders with 503 (latest attempt took 27433ms).
WARN service=catalog-api table=sessions elapsed_ms=15000 fn=connectDb msg=statement timeout,The sessions query issued by catalog-api timed out at 15000ms inside connectDb.
[CRIT] webhook-relay: 403 on /api/v1/uploads — expired credentials (586m past validity),An expired token (586 minutes past validity) caused webhook-relay to reject /api/v1/uploads with 403.
TLS handshake with ledger-service failed: certificate expired 5 days ago. decodePayload aborted the connection.,"ledger-service has an expired TLS certificate (5 days past validity), causing handshake failures in decodePayload."
"[ALERT] database unreachable from payment-worker: connectDb got error 111 (connection refused, port 5432)","The database on port 5432 refused payment-worker's connection attempt in connectDb, failing with code 111."
"[ALERT] ledger-service deployment stalled: image tag v7.4.7 could not be pulled, registry answered 403","The ledger-service image pull for tag v7.4.7 failed with registry error 403, leaving the deployment in backoff."
ERROR service=backup-agent upstream=feed-aggregator endpoint=/api/v1/search code=500 elapsed_ms=21800 breaker=open,"The feed-aggregator upstream is failing /api/v1/search with 500, so backup-agent stopped sending traffic (breaker open)."
ERROR service=search-indexer host=node-04 upstream=email-dispatcher dns=timeout,search-indexer on node-04 cannot resolve its upstream email-dispatcher — DNS returned timeout.
Scheduled job nightly-report failed after 1635s with exit status 1. Last step was renewLease on node-01.,The nightly-report scheduled job failed on node-01: it exited 1 after 1635s while running renewLease.
Failed to pull image for payment-worker: registry returned 502 while fetching tag v4.1.4. Retrying with backoff.,Deploying payment-worker failed because image tag v4.1.4 could not be pulled; the registry responded with 502 and the pull is backing off.
[ALERT] backup-agent: 401 on /api/v1/reports — expired credentials (460m past validity),An expired token (460 minutes past validity) caused backup-agent to reject /api/v1/reports with 401.
ERROR service=inventory-sync host=node-11 mount=/var/log used_pct=98 fn=connectDb msg=no space left on device,"node-11 ran out of disk on /var/log (98% used), breaking inventory-sync's connectDb."
ERROR service=media-encoder upstream=report-builder endpoint=/api/v1/checkout code=500 elapsed_ms=15041 breaker=open,Repeated 500 errors from report-builder on /api/v1/checkout tripped media-encoder's circuit breaker.
TLS handshake with order-api failed: certificate expired 69 days ago. connectDb aborted the connection.,Connections to order-api are failing because its TLS certificate expired 69 days ago; connectDb rejects the handshake.
FATAL service=media-encoder fn=flushBuffer missing_env=DATABASE_URL exit=1,A missing DATABASE_URL value stopped media-encoder from booting (flushBuffer exited 1).
"[CRIT] index-rebuild did not complete: exit 1 after 2023s (step buildIndex, node-09)","index-rebuild aborted with exit status 1 on node-09; the failure happened 2023s in, during buildIndex."
ERROR service=payment-worker phase=image_pull code=401 tag=v1.5.8 msg=pull backoff,Deploying payment-worker failed because image tag v1.5.8 could not be pulled; the registry responded with 401 and the pull is backing off.
Message on webhooks.delivery was redelivered 10 times and moved to the dead-letter queue. Consumer report-builder raised JSONDecodeError in acquireLock.,A message on webhooks.delivery exhausted 10 redeliveries and was dead-lettered after report-builder kept failing with JSONDecodeError in acquireLock.
Client exceeded 60 requests per minute on /api/v1/checkout; geo-resolver is responding 429 with retry-after 30s.,Traffic to /api/v1/checkout passed 60 requests per minute and geo-resolver began returning 429 (retry after 30s).
ERROR service=email-dispatcher phase=image_pull code=401 tag=v1.2.1 msg=pull backoff,Registry error 401 blocked email-dispatcher from pulling image tag v1.2.1.
"[ALERT] container runtime killed auth-gateway on node-05: memory limit 1024Mi reached inside fetchUpstream, exit code 137",The auth-gateway container on node-05 was killed with exit code 137 after fetchUpstream exceeded its 1024Mi memory limit.
WARN service=cart-service table=events elapsed_ms=3000 fn=runMigration msg=statement timeout,cart-service's query on events was aborted after 3000ms — the statement timeout fired during runMigration.
ERROR service=auth-gateway host=node-12 mount=/srv/uploads used_pct=99 fn=openChannel msg=no space left on device,Writes from auth-gateway on node-12 are failing because volume /srv/uploads is 99% full — openChannel hit 'no space left on device'.
ERROR service=media-encoder fn=acquireLock db_port=5432 code=2013 msg=connection refused elapsed_ms=549,media-encoder failed to reach the database: acquireLock received a connection-refused error (code 2013) on port 5432 after 549ms.
[ERROR] lock wait on customers: feed-aggregator transaction in buildIndex aborted after 1000ms,The customers query issued by feed-aggregator timed out at 1000ms inside buildIndex.
Request to /api/v1/sessions rejected with 401: the session token presented to geo-resolver expired 32 minutes ago.,The /api/v1/sessions call failed with 401: geo-resolver saw credentials that lapsed 32 minutes ago.
Request to /api/v1/uploads rejected with 401: the session token presented to search-indexer expired 390 minutes ago.,An expired token (390 minutes past validity) caused search-indexer to reject /api/v1/uploads with 401.
ERROR service=backup-agent phase=image_pull code=404 tag=v8.14.9 msg=pull backoff,Registry error 404 blocked backup-agent from pulling image tag v8.14.9.
TLS handshake with auth-gateway failed: certificate expired 45 days ago. handleRequest aborted the connection.,"auth-gateway has an expired TLS certificate (45 days past validity), causing handshake failures in handleRequest."
[ALERT] media-encoder: 38 consecutive 504 responses from notify-hub on /api/v1/sessions; breaker opened,Repeated 504 errors from notify-hub on /api/v1/sessions tripped media-encoder's circuit breaker.
ERROR service=session-store host=worker-a upstream=auth-gateway dns=timeout,session-store on worker-a cannot resolve its upstream auth-gateway — DNS returned timeout.
WARN service=webhook-relay endpoint=/api/v1/uploads limit_per_min=300 code=429 retry_after_s=15,Rate limiting kicked in on /api/v1/uploads — over 300/min — and webhook-relay now answers 429 with retry-after 15s.
[ERROR] catalog-api: 30 consecutive 502 responses from order-api on /api/v1/reports; breaker opened,catalog-api opened its circuit breaker after order-api answered /api/v1/reports with 502 (latest attempt took 3038ms).
[ALERT] worker-d: volume /var/lib/data at 98%; writes from ledger-service are failing in buildIndex,"worker-d ran out of disk on /var/lib/data (98% used), breaking ledger-service's buildIndex."
thumbnail-worker could not connect to the database on port 3306. Error 61 in acquireLock: connection refused after 516ms.,thumbnail-worker failed to reach the database: acquireLock received a connection-refused error (code 61) on port 3306 after 516ms.
webhook-relay could not connect to the database on port 5432. Error 2013 in syncReplica: connection refused after 6660ms.,"The database on port 5432 refused webhook-relay's connection attempt in syncReplica, failing with code 2013."
WARN service=thumbnail-worker endpoint=/api/v1/checkout limit_per_min=600 code=429 retry_after_s=15,Traffic to /api/v1/checkout passed 600 requests per minute and thumbnail-worker began returning 429 (retry after 15s).
"[ALERT] thumbnail-worker deployment stalled: image tag v7.7.5 could not be pulled, registry answered 403",Deploying thumbnail-worker failed because image tag v7.7.5 could not be pulled; the registry responded with 403 and the pull is backing off.
ERROR job=session-cleanup host=worker-d elapsed_s=2210 exit=1 last_step=connectDb,"On worker-d, the session-cleanup job died in step connectDb after 2210s (exit 1)."
ERROR service=catalog-api role=readonly table=customers code=1044 msg=permission denied,"Database permissions blocked catalog-api — role readonly cannot use table customers, so acquireLock failed with error 1044."
WARN service=payment-worker table=events elapsed_ms=30000 fn=resolveHost msg=statement timeout,The events query issued by payment-worker timed out at 30000ms inside resolveHost.
Failed to pull image for notify-hub: registry returned 404 while fetching tag v5.16.9. Retrying with backoff.,Registry error 404 blocked notify-hub from pulling image tag v5.16.9.
WARN service=cart-service table=events elapsed_ms=3000 fn=handleRequest msg=statement timeout,A statement from cart-service against events ran past the 3000ms timeout and was cancelled in handleRequest.
[ALERT] worker-f: volume /srv/uploads at 97%; writes from catalog-api are failing in resolveHost,"worker-f ran out of disk on /srv/uploads (97% used), breaking catalog-api's resolveHost."
"[CRIT] index-rebuild did not complete: exit 1 after 1972s (step runMigration, worker-f)","index-rebuild aborted with exit status 1 on worker-f; the failure happened 1972s in, during runMigration."
Failed to pull image for notify-hub: registry returned 502 while fetching tag v9.8.5. Retrying with backoff.,"The notify-hub image pull for tag v9.8.5 failed with registry error 502, leaving the deployment in backoff."
[ERROR] certificate for order-api is no longer valid (expired 12d); handshake rejected in runMigration,Connections to order-api are failing because its TLS certificate expired 12 days ago; runMigration rejects the handshake.
[CRIT] consumer lag on emails.outbound: inventory-sync is 14 messages behind; oldest message failed with TimeoutError,inventory-sync could not process a emails.outbound message — TimeoutError in openChannel across 14 attempts sent it to the dead-letter queue.
ERROR service=email-dispatcher role=readonly table=customers code=42501 msg=permission denied,"Database permissions blocked email-dispatcher — role readonly cannot use table customers, so openChannel failed with error 42501."
ERROR service=backup-agent host=node-03 mount=/var/log used_pct=97 fn=connectDb msg=no space left on device,"node-03 ran out of disk on /var/log (97% used), breaking backup-agent's connectDb."
[ALERT] catalog-api: permission denied for app_writer on invoices during processBatch (error 42501),Error 42501 in processBatch: the app_writer role used by catalog-api has no access to invoices.
WARN service=catalog-api table=invoices elapsed_ms=15000 fn=handleRequest msg=statement timeout,catalog-api's query on invoices was aborted after 15000ms — the statement timeout fired during handleRequest.
Request to /api/v1/sessions rejected with 403: the session token presented to ledger-service expired 77 minutes ago.,An expired token (77 minutes past validity) caused ledger-service to reject /api/v1/sessions with 403.
ERROR service=inventory-sync fn=decodePayload tls=handshake_failed reason=certificate_expired expired_days=19,"inventory-sync has an expired TLS certificate (19 days past validity), causing handshake failures in decodePayload."
WARN service=report-builder endpoint=/api/v1/sessions code=401 reason=token_expired expired_min=353,report-builder returned 401 for /api/v1/sessions because the caller's token expired 353 minutes earlier.
Name resolution failed for upstream thumbnail-worker: NXDOMAIN. ledger-service cannot reach it from node-09.,"DNS resolution of thumbnail-worker failed with NXDOMAIN, leaving ledger-service on node-09 unable to connect."
"[ERROR] database unreachable from backup-agent: resolveHost got error 2013 (connection refused, port 3306)",backup-agent failed to reach the database: resolveHost received a connection-refused error (code 2013) on port 3306 after 437ms.
"[ERROR] nightly-report did not complete: exit 1 after 1871s (step processBatch, node-10)",The nightly-report scheduled job failed on node-10: it exited 1 after 1871s while running processBatch.
[ALERT] node-10: volume /var/log at 96%; writes from order-api are failing in flushBuffer,"Volume /var/log on node-10 filled to 96%, so order-api can no longer write (flushBuffer failed)."
ERROR job=nightly-report host=node-09 elapsed_s=364 exit=1 last_step=connectDb,"On node-09, the nightly-report job died in step connectDb after 364s (exit 1)."
Name resolution failed for upstream catalog-api: timeout. search-indexer cannot reach it from node-11.,search-indexer on node-11 cannot resolve its upstream catalog-api — DNS returned timeout.
"[ERROR] database unreachable from auth-gateway: startContainer got error 2002 (connection refused, port 6379)",auth-gateway failed to reach the database: startContainer received a connection-refused error (code 2002) on port 6379 after 7733ms.
ERROR service=email-dispatcher role=batch_runner table=payments code=42501 msg=permission denied,Error 42501 in writeSnapshot: the batch_runner role used by email-dispatcher has no access to payments.
ERROR job=metrics-flush host=node-07 elapsed_s=2943 exit=1 last_step=startContainer,"metrics-flush aborted with exit status 1 on node-07; the failure happened 2943s in, during startContainer."
"[ALERT] index-rebuild did not complete: exit 1 after 924s (step startContainer, node-02)",The index-rebuild scheduled job failed on node-02: it exited 1 after 924s while running startContainer.
search-indexer exited during startup: required environment variable DATABASE_URL is not set. processBatch aborted with status 1.,Startup of search-indexer aborted in processBatch — the required DATABASE_URL setting was never provided.
WARN service=cart-service table=sessions elapsed_ms=5000 fn=runMigration msg=statement timeout,The sessions query issued by cart-service timed out at 5000ms inside runMigration.
Name resolution failed for upstream feed-aggregator: SERVFAIL. feed-aggregator cannot reach it from worker-e.,feed-aggregator on worker-e cannot resolve its upstream feed-aggregator — DNS returned SERVFAIL.
[ERROR] notify-hub: permission denied for reporting_ro on payments during fetchUpstream (error 1044),"Database permissions blocked notify-hub — role reporting_ro cannot use table payments, so fetchUpstream failed with error 1044."
media-encoder exited during startup: required environment variable CACHE_HOST is not set. fetchUpstream aborted with status 1.,media-encoder failed to start because the CACHE_HOST environment variable is missing; fetchUpstream exited with status 1.
FATAL service=inventory-sync fn=fetchUpstream missing_env=CACHE_HOST exit=1,A missing CACHE_HOST value stopped inventory-sync from booting (fetchUpstream exited 1).
ERROR service=payment-worker upstream=session-store endpoint=/api/v1/orders code=502 elapsed_ms=12481 breaker=open,"The session-store upstream is failing /api/v1/orders with 502, so payment-worker stopped sending traffic (breaker open)."
Request to /api/v1/sessions rejected with 401: the session token presented to cart-service expired 317 minutes ago.,The /api/v1/sessions call failed with 401: cart-service saw credentials that lapsed 317 minutes ago.
"[ALERT] report-builder deployment stalled: image tag v1.3.8 could not be pulled, registry answered 403",Registry error 403 blocked report-builder from pulling image tag v1.3.8.
Client exceeded 120 requests per minute on /api/v1/search; feed-aggregator is responding 429 with retry-after 15s.,Rate limiting kicked in on /api/v1/search — over 120/min — and feed-aggregator now answers 429 with retry-after 15s.
ERROR service=feed-aggregator phase=image_pull code=502 tag=v6.8.2 msg=pull backoff,Deploying feed-aggregator failed because image tag v6.8.2 could not be pulled; the registry responded with 502 and the pull is backing off.
[CRIT] certificate for media-encoder is no longer valid (expired 34d); handshake rejected in openChannel,"The TLS certificate presented by media-encoder lapsed 34 days ago, so the handshake in openChannel was aborted."
ERROR service=payment-worker phase=image_pull code=401 tag=v9.18.6 msg=pull backoff,Registry error 401 blocked payment-worker from pulling image tag v9.18.6.
[ERROR] session-store: 4 consecutive 504 responses from order-api on /api/v1/sessions; breaker opened,"The order-api upstream is failing /api/v1/sessions with 504, so session-store stopped sending traffic (breaker open)."
ERROR service=email-dispatcher fn=resolveHost tls=handshake_failed reason=certificate_expired expired_days=87,"The TLS certificate presented by email-dispatcher lapsed 87 days ago, so the handshake in resolveHost was aborted."
[ERROR] lock wait on events: backup-agent transaction in processBatch aborted after 15000ms,backup-agent's query on events was aborted after 15000ms — the statement timeout fired during processBatch.
ERROR service=media-encoder role=migrator table=customers code=1044 msg=permission denied,Error 1044 in connectDb: the migrator role used by media-encoder has no access to customers.
